Name;Symbol;Coin Market Cap;Price;Volume;max_supply;total_supply
Particl; PART; 24431306,16782571; 2,08211455534949;1112.59306351;None;11751238.04984224
Trias Token (new); TRIAS; 24271007,507804427; 15,169379692377767;8579225.30389904;None;10000000
ETHPad; ETHPAD; 24180117,14459788; 0,12124771520354356;1663869.61489001;1000000000;199427404.5
GYEN; GYEN; 24138479,8446667; 0,008829120468205418;26943729.24721193;None;2733961999
TOWER; TOWER; 24094025,26781057; 0,10139730081803032;2290838.29629568;10000000000;10000000000
SafeMoon Inu; SMI; 24023448,334135372; 2,402344833413537e-05;517112.36816843;1000000000000;1000000000000
Lossless; LSS; 23924793,238268137; 1,0693137265433061;4507842.97827375;100000000;100000000
Callisto Network; CLO; 23753183,771386072; 0,00922414473711218;92957.1658136;6500000000;2614098213.01297
Oraichain Token; ORAI; 23686317,21566846; 11,585814496243666;660383.04424807;19779272;19779272
Dexlab; DXL; 23687746,331129976; 0,4509650850525227;487958.44030078;1000000000;1000000000
Sin City Metaverse; SIN; 23641357,83800333; 0,3949079900338762;6020969.80981497;None;1000000000
EpiK Protocol; EPK; 23640573,93890523; 0,5348978293903617;2169361.71919659;1000000000;44196429
WOM Protocol; WOM; 23558764,41746333; 0,22826612243072886;335147.08329205;1000000000;1000000000
Swash; SWASH; 23541194,38465541; 0,2942725327067624;2863433.65281698;1000000000;1000000000
DOGGY; DOGGY; 23521818,266016267; 0,0058134952730263005;3057611.72156087;5000000000;4046071624.9575
Fuse Network; FUSE; 23464150,06650585; 0,4262680901876938;1506488.85118627;None;314655930.553138
Obyte; GBYTE; 23432349,20689688; 29,47785347697926;108202.46455037;1000000;1000000
Phoenix Global (new); PHB; 23363101,614676096; 0,6291096021878344;1286524.34826979;None;37136774.79
Tokamak Network; TON; 23333082,587749284; 8,555252585944285;10694809.42842751;50000000;50000000
XMON; XMON; 23320343,503932606; 15599,750014298515;498221.17184085;10000;10000
Quantum Resistant Ledger; QRL; 23232258,05734495; 0,3080098904083088;75498.11481033;105000000;75426987.1871564
Electra Protocol; XEP; 23203765,066378668; 0,0013076834256390128;50391.12822286;30000000000;17764656765
Switcheo; SWTH; 23124145,403796513; 0,01399527052775165;79795.17326248;2160000000;1718045266.7475853
Banano; BAN; 23056258,389292333; 0,01761871612038019;470572.5468034;None;1918971614.1611168
GMCoin; GMCOIN; 22940147,644635543; 0,5570230345774339;917878.06467943;80000000;80000000
Tranche Finance; SLICE; 22849484,77239702; 1,142474238619851;136982.74822136;20000000;20000000
Mirrored Invesco QQQ Trust; mQQQ; 22771055,219077054; 398,81914250425945;0;None;57096.19422
Ambrosus; AMB; 22616025,67699995; 0,04273583305435828;789918.29557301;None;769873000
FOAM; FOAM; 22546287,95542346; 0,07122010643332967;25714.1847154;None;1000000000
mStable Governance Token: Meta (MTA); MTA; 22534213,689152475; 1,2998100604105312;5165306.39342229;None;99995244.58572492
Eden; EDEN; 22440933,703938633; 1,6958789368543823;5191421.11059847;250000000;100000000
ARMOR; ARMOR; 22251989,227244426; 0,1251705734292063;182229.13860418;1000000000;1000000000
DIGG; DIGG; 22211876,32132655; 44481,384390542145;289587.04055461;None;6613.10392834
StableXSwap; STAX; 22083509,160383727; 1,6182372479915714;4943.27332564;21000000;21000000
NerveNetwork; NVT; 21782392,279298984; 0,0786414273306526;855871.75075928;2100000000;1122857486.3837585
Emirex Token; EMRX; 21748677,544968393; 0,8037572130497601;1381156.12310732;None;500000000
King DAG; KDAG; 21731566,194022343; 0,4005704573763262;78900.47826818;1000000000;1000000000
Morpheus Labs; MITX; 21725532,677203294; 0,047643712091255744;352346.8303714;None;713999995
